GEO_ID,COUNTYID,NAME,INCOME
0500000US35001,35001,"Bernalillo County, New Mexico",78695
0500000US35003,35003,"Catron County, New Mexico",47055
0500000US35005,35005,"Chaves County, New Mexico",65324
0500000US35006,35006,"Cibola County, New Mexico",64401
0500000US35007,35007,"Colfax County, New Mexico",53985
0500000US35009,35009,"Curry County, New Mexico",65159
0500000US35011,35011,"De Baca County, New Mexico",49765
0500000US35013,35013,"Doña Ana County, New Mexico",65405
0500000US35015,35015,"Eddy County, New Mexico",85725
0500000US35017,35017,"Grant County, New Mexico",59877
0500000US35019,35019,"Guadalupe County, New Mexico",71402
0500000US35021,35021,"Harding County, New Mexico",142117
0500000US35023,35023,"Hidalgo County, New Mexico",57121
0500000US35025,35025,"Lea County, New Mexico",80434
0500000US35027,35027,"Lincoln County, New Mexico",66430
0500000US35028,35028,"Los Alamos County, New Mexico",150770
0500000US35029,35029,"Luna County, New Mexico",46849
0500000US35031,35031,"McKinley County, New Mexico",56484
0500000US35033,35033,"Mora County, New Mexico",51182
0500000US35035,35035,"Otero County, New Mexico",61586
0500000US35037,35037,"Quay County, New Mexico",48637
0500000US35039,35039,"Rio Arriba County, New Mexico",63388
0500000US35041,35041,"Roosevelt County, New Mexico",61638
0500000US35043,35043,"Sandoval County, New Mexico",86286
0500000US35045,35045,"San Juan County, New Mexico",64489
0500000US35047,35047,"San Miguel County, New Mexico",53784
0500000US35049,35049,"Santa Fe County, New Mexico",91563
0500000US35051,35051,"Sierra County, New Mexico",54952
0500000US35053,35053,"Socorro County, New Mexico",55650
0500000US35055,35055,"Taos County, New Mexico",73881
0500000US35057,35057,"Torrance County, New Mexico",55303
0500000US35059,35059,"Union County, New Mexico",57454
0500000US35061,35061,"Valencia County, New Mexico",68805
