DATAFLOW,NAME,OBS_VALUE,GEOID
ESTAT:SDG_13_10(1.0),Austria,8.2,AT
ESTAT:SDG_13_10(1.0),Belgium,9.5,BE
ESTAT:SDG_13_10(1.0),Bulgaria,5.8,BG
ESTAT:SDG_13_10(1.0),Switzerland,5.1,CH
ESTAT:SDG_13_10(1.0),Cyprus,9.9,CY
ESTAT:SDG_13_10(1.0),Czechia,11.8,CZ
ESTAT:SDG_13_10(1.0),Germany,8.8,DE
ESTAT:SDG_13_10(1.0),Denmark,7.9,DK
ESTAT:SDG_13_10(1.0),Estonia,9.7,EE
ESTAT:SDG_13_10(1.0),Greece,6.8,EL
ESTAT:SDG_13_10(1.0),Spain,5.2,ES
ESTAT:SDG_13_10(1.0),Finland,5.7,FI
ESTAT:SDG_13_10(1.0),France,5.7,FR
ESTAT:SDG_13_10(1.0),Croatia,4.6,HR
ESTAT:SDG_13_10(1.0),Hungary,5.8,HU
ESTAT:SDG_13_10(1.0),Ireland,13.2,IE
ESTAT:SDG_13_10(1.0),Iceland,37.6,IS
ESTAT:SDG_13_10(1.0),Italy,5.9,IT
ESTAT:SDG_13_10(1.0),Lithuania,5.3,LT
ESTAT:SDG_13_10(1.0),Luxembourg,16.5,LU
ESTAT:SDG_13_10(1.0),Latvia,5.9,LV
ESTAT:SDG_13_10(1.0),Malta,4.5,MT
ESTAT:SDG_13_10(1.0),Netherlands,10,NL
ESTAT:SDG_13_10(1.0),Norway,5.5,NO
ESTAT:SDG_13_10(1.0),Poland,9.4,PL
ESTAT:SDG_13_10(1.0),Portugal,5.1,PT
ESTAT:SDG_13_10(1.0),Romania,4,RO
ESTAT:SDG_13_10(1.0),Sweden,0.7,SE
ESTAT:SDG_13_10(1.0),Slovenia,5.3,SI
ESTAT:SDG_13_10(1.0),Slovakia,5.2,SK
ESTAT:SDG_13_10(1.0),Türkiye,5.7,TR
